Course Name,Award,A Levels,UCAS Code,Duration,Start Month,Accreditation,Home Students Fees,Overseas Students Fees
Computer Science (Artificial Intelligence),BSc,AAA; AAB,GG74,3 years,September start,Accredited,"£9,250","£26,950"
Computer Science (Artificial Intelligence),MComp,AAA; AAB,G700,4 years,September start,Accredited,"£9,250","£26,950"
Computer Science (Artificial Intelligence) with an Industrial Placement Year,MComp,AAA; AAB,G704,5 years,September start,Accredited,"£9,250","£26,950"
Computer Science (Artificial Intelligence) with an Industrial Placement Year,BSc,AAA; AAB,GG75,4 years,September start,Accredited,"£9,250","£26,950"
Computer Science (Software Engineering),BEng,AAA; AAB,G600,3 years,September start,Accredited,"£9,250","£26,950"
Computer Science (Software Engineering),MEng,AAA; AAB,G650,4 years,September start,Accredited,"£9,250","£26,950"
Computer Science (Software Engineering) with an Industrial Placement Year,BEng,AAA; AAB,G604,4 years,September start,Accredited,"£9,250","£26,950"
Computer Science (Software Engineering) with an Industrial Placement Year,MEng,AAA; AAB,G654,5 years,September start,Accredited,"£9,250","£26,950"
Computer Science with a Foundation Year,BSc | MComp,BBB; BBC,G401,5 years,September start,Accredited,"£9,250","£26,950"
Computer Science with an Industrial Placement Year,BSc,AAA; AAB,G403,4 years,September start,Accredited,"£9,250","£26,950"
Computer Science with an Industrial Placement Year,MComp,AAA; AAB,G404,5 years,September start,Accredited,"£9,250","£26,950"
Computer Systems Engineering,BEng,AAB,H130,3 years,September start,Accredited,"£9,250","£26,950"
Computer Systems Engineering,MEng,AAA,G500,4 years,September start,Accredited,"£9,250","£26,950"
Computer Systems Engineering with an Industrial Placement Year,MEng,AAA,8M74,5 years,September start,Accredited,"£9,250","£26,950"
Computer Systems Engineering with an Industrial Placement Year,BEng,AAB,2A47,4 years,September start,Accredited,"£9,250","£26,950"
Criminology,BA,AAB,M900,3 years,September start,Not found,"£9,250","£21,000"
Data Science,BSc,AAB,I2L9,3 years,September start,Not found,"£9,250","£23,650"
Dental Hygiene and Dental Therapy,Higher Education Diploma,Not found,DENU103,27 months,April start,Accredited,"£9,250","£42,770"
Dental Surgery,BDS,AAA,A200,5 years,September start,Accredited,"£9,250","£42,770"
Digital Media and Society,BA,AAB,L391,3 years,September start,Not found,"£9,250","£21,000"
East Asian Studies,BA,ABB,T300,3 years,September start,Not found,"£9,250","£23,650"
Ecology and Conservation Biology,MBiolSci,AAA,C189,4 years,September start,Not found,"£9,250","£26,950"
Ecology and Conservation Biology,BSc,AAB,C180,3 years,September start,Not found,"£9,250","£26,950"
Ecology and Conservation Biology with Placement Year,MBiolSci,AAA,C184,5 years,September start,Not found,"£9,250","£26,950"
Ecology and Conservation Biology with Placement Year,BSc,AAB,C185,4 years,September start,Not found,"£9,250","£26,950"
Economics,BA,AAB,L100,3 years,September start,Not found,"£9,250","£21,000"
Economics,BSc,AAB,L101,3 years,September start,Not found,"£9,250","£21,000"
